,Club,ID,Nationality,Overall,Potential,Special,Value,Wage,name
114,Chelsea,180403,Brazil,84,84,2061,31500000.0,200000.0,Willian
115,Juventus,179846,Germany,84,84,2157,29000000.0,160000.0,S. Khedira
116,FC Schalke 04,179783,Germany,84,85,1190,25000000.0,54000.0,R. Fährmann
117,Villarreal CF,178750,Spain,84,85,1341,25000000.0,46000.0,Sergio Asenjo
118,Manchester United,178088,Spain,84,84,1982,30500000.0,195000.0,Juan Mata
119,Juventus,177509,Morocco,84,84,1764,23000000.0,145000.0,M. Benatia
120,Olympique de Marseille,177388,France,84,84,2076,29500000.0,60000.0,D. Payet
121,AS Monaco,167397,Colombia,84,84,2010,28000000.0,68000.0,Falcao
122,Arsenal,165229,France,84,84,1866,21000000.0,150000.0,L. Koscielny
123,Chelsea,164468,England,84,84,1839,21000000.0,160000.0,G. Cahill
124,Paris Saint-Germain,146530,Brazil,84,84,2208,9000000.0,115000.0,Dani Alves
125,Atalanta,143076,Argentina,84,84,2013,31000000.0,60000.0,A. Gómez
126,Athletic Club de Bilbao,106231,Spain,84,84,1987,11000000.0,38000.0,Aduriz
127,Paris Saint-Germain,231747,France,83,94,2050,41500000.0,31000.0,K. Mbappé
128,FC Barcelona,231443,France,83,92,1969,40000000.0,150000.0,O. Dembélé
129,RB Leipzig,220971,Guinea,83,88,2055,34000000.0,68000.0,N. Keïta
130,Atlético Madrid,216460,Uruguay,83,87,1760,28500000.0,53000.0,J. Giménez
131,Real Sociedad,215316,Argentina,83,89,1284,25500000.0,28000.0,G. Rulli
132,AS Monaco,213565,France,83,91,2171,38500000.0,37000.0,T. Lemar
133,Inter,212814,Portugal,83,88,2098,34000000.0,70000.0,João Mário
134,FC Bayern Munich,212190,Germany,83,89,1630,30500000.0,78000.0,N. Süle
135,Manchester City,210257,Brazil,83,89,1320,26000000.0,87000.0,Ederson
136,AS Monaco,209499,Brazil,83,88,2114,29500000.0,37000.0,Fabinho
137,Liverpool,209331,Egypt,83,86,2032,32500000.0,135000.0,M. Salah
138,Torino,208596,Italy,83,90,1935,37000000.0,58000.0,A. Belotti
139,RB Leipzig,208448,Sweden,83,85,1949,31500000.0,75000.0,E. Forsberg
140,Paris Saint-Germain,207865,Brazil,83,89,1869,30500000.0,75000.0,Marquinhos
141,Sporting CP,207566,Portugal,83,86,1967,27500000.0,21000.0,William Carvalho
142,FC Barcelona,205600,France,83,88,2109,29500000.0,135000.0,S. Umtiti
143,Leicester City,204485,Algeria,83,84,1935,30500000.0,88000.0,R. Mahrez
144,Southampton,203376,Netherlands,83,86,2011,27500000.0,89000.0,V. van Dijk
145,Liverpool,201942,Brazil,83,87,2101,34000000.0,135000.0,Roberto Firmino
146,FC Porto,200888,Portugal,83,86,2029,27500000.0,18000.0,Danilo Pereira
147,UD Las Palmas,199715,Spain,83,83,1983,27000000.0,68000.0,Vitolo
148,Olympique Lyonnais,199482,Portugal,83,86,1317,22500000.0,60000.0,A. Lopes
149,Lazio,198176,Netherlands,83,88,1783,29000000.0,56000.0,S. de Vrij
150,Genoa,198009,Italy,83,88,1246,25000000.0,28000.0,M. Perin
151,Liverpool,197061,Cameroon,83,85,1884,26500000.0,110000.0,J. Matip
152,Everton,193474,Senegal,83,84,2045,24500000.0,115000.0,I. Gueye
153,RC Celta de Vigo,192629,Spain,83,83,2012,26000000.0,39000.0,Iago Aspas
154,Manchester City,192366,Argentina,83,83,1886,20000000.0,140000.0,N. Otamendi
155,Manchester United,191202,Serbia,83,83,2120,21000000.0,140000.0,N. Matić
156,Paris Saint-Germain,191180,Argentina,83,83,2066,25500000.0,100000.0,J. Pastore
157,Valencia CF,189513,Spain,83,83,2089,25500000.0,45000.0,Parejo
158,Borussia Dortmund,189358,Japan,83,83,1874,26000000.0,75000.0,S. Kagawa
159,Milan,189125,Italy,83,83,2197,26500000.0,115000.0,G. Bonaventura
160,Sporting CP,189068,Netherlands,83,83,1809,27000000.0,28000.0,B. Dost
161,Manchester City,188377,England,83,84,2164,24000000.0,130000.0,K. Walker
162,,188152,Brazil,83,86,1961,0.0,0.0,Oscar
163,Sevilla FC,187936,France,83,83,2032,21000000.0,25000.0,S. N'Zonzi
164,Milan,186547,Argentina,83,86,1917,27000000.0,105000.0,M. Musacchio
165,Borussia Dortmund,185239,Turkey,83,84,1864,24500000.0,66000.0,O. Toprak
166,Napoli,185020,Spain,83,83,1987,24500000.0,87000.0,José Callejón
167,,184826,Portugal,83,83,2174,0.0,0.0,Adrien Silva
168,Toronto FC,184431,Italy,83,83,1961,25000000.0,15000.0,S. Giovinco
169,Atlético Madrid,184144,Argentina,83,83,2006,25500000.0,70000.0,N. Gaitán
170,Juventus,181783,Croatia,83,83,2104,23500000.0,135000.0,M. Mandžukić
171,Liverpool,180819,England,83,83,2141,25000000.0,135000.0,A. Lallana
172,Juventus,179784,Germany,83,83,1862,20000000.0,50000.0,B. Höwedes
173,Sevilla FC,178562,Argentina,83,83,2086,25500000.0,27000.0,E. Banega
174,Sporting CP,178005,Portugal,83,83,1350,17500000.0,19000.0,Rui Patrício
175,Borussia Mönchengladbach,177683,Switzerland,83,84,1299,21000000.0,39000.0,Y. Sommer
176,Everton,177358,France,83,85,2078,25500000.0,115000.0,M. Schneiderlin
177,SL Benfica,176769,Brazil,83,83,2006,16500000.0,21000.0,Jonas
178,Atlético Madrid,176600,France,83,83,2040,25000000.0,73000.0,K. Gameiro
179,Borussia Dortmund,173771,Poland,83,83,2143,14500000.0,66000.0,L. Piszczek
180,Valencia CF,170481,Argentina,83,83,1952,19000000.0,40000.0,E. Garay
181,Manchester United,167905,Ecuador,83,83,2185,17000000.0,130000.0,A. Valencia
182,Leicester City,163587,Denmark,83,84,1355,19000000.0,65000.0,K. Schmeichel
183,Tottenham Hotspur,162240,Belgium,83,83,2186,25000000.0,115000.0,M. Dembélé
184,Inter,161956,Spain,83,83,2089,20000000.0,80000.0,Borja Valero
185,AS Saint-Étienne,159147,France,83,83,2046,17500000.0,46000.0,L. Perrin
186,Milan,158963,Argentina,83,83,2129,17500000.0,105000.0,L. Biglia
187,Atlético Madrid,146760,Spain,83,83,2080,14500000.0,62000.0,Juanfran
188,RCD Espanyol,146748,Spain,83,83,1200,6000000.0,19000.0,Diego López
189,Arsenal,146562,Spain,83,83,2120,19500000.0,130000.0,Santi Cazorla
190,FC Barcelona,142754,Argentina,83,83,1984,10500000.0,155000.0,J. Mascherano
191,OGC Nice,139869,Netherlands,83,83,1976,15500000.0,47000.0,W. Sneijder
192,Lazio,139068,Portugal,83,83,1949,24500000.0,47000.0,Nani
193,Roma,53302,Italy,83,83,2115,10500000.0,73000.0,D. De Rossi
194,Napoli,24630,Spain,83,83,1291,10500000.0,59000.0,José Reina
195,Beşiktaş JK,20775,Portugal,83,83,1962,15500000.0,67000.0,Quaresma
196,Manchester City,20289,Ivory Coast,83,83,2161,12500000.0,145000.0,Y. Touré
197,FC Porto,5479,Spain,83,83,1293,3500000.0,10000.0,Casillas
198,Milan,230621,Italy,82,94,1266,28500000.0,35000.0,G. Donnarumma
199,Manchester City,222492,Germany,82,91,2001,34500000.0,125000.0,L. Sané
200,Chelsea,219809,France,82,88,1973,26000000.0,105000.0,T. Bakayoko
201,FC Bayern Munich,219683,France,82,89,2205,30500000.0,98000.0,C. Tolisso
202,Leicester City,217699,Algeria,82,82,1988,22000000.0,100000.0,I. Slimani
203,Olympique Lyonnais,216594,France,82,85,2011,28000000.0,70000.0,N. Fekir
204,OGC Nice,216451,Ivory Coast,82,83,2178,26000000.0,45000.0,J. Seri
205,AS Monaco,215785,Senegal,82,90,1929,32500000.0,46000.0,K. Baldé Diao
206,Bayer 04 Leverkusen,213331,Germany,82,88,1651,26000000.0,47000.0,J. Tah
207,Juventus,212404,Italy,82,88,1995,30500000.0,110000.0,F. Bernardeschi
208,RB Leipzig,212188,Germany,82,87,1901,30500000.0,68000.0,T. Werner
209,FC Barcelona,211575,Portugal,82,88,2087,30000000.0,150000.0,André Gomes
210,Manchester United,211300,France,82,90,2053,33000000.0,115000.0,A. Martial
211,FC Schalke 04,209658,Germany,82,88,2198,30000000.0,46000.0,L. Goretzka
212,Spartak Moscow,208808,Netherlands,82,85,2002,28000000.0,76000.0,Q. Promes
213,Real Madrid CF,208618,Spain,82,83,2005,26000000.0,185000.0,Lucas Vázquez
214,Atlético Madrid,208421,Spain,82,90,2092,32000000.0,59000.0,Saúl
215,FC Porto,207863,Brazil,82,82,1799,18000000.0,20000.0,Felipe
216,Villarreal CF,207664,Colombia,82,82,1872,21500000.0,125000.0,C. Bacca
217,Sevilla FC,207471,Italy,82,82,1992,22500000.0,27000.0,F. Vázquez
218,Real Madrid CF,207410,Croatia,82,88,2054,30000000.0,150000.0,M. Kovačić
219,Sevilla FC,206652,Spain,82,87,1225,21500000.0,16000.0,Sergio Rico
220,Villarreal CF,206545,Spain,82,85,2117,27500000.0,43000.0,Manu Trigueros
221,Chelsea,205452,Germany,82,86,1838,24500000.0,105000.0,A. Rüdiger
222,Olympique de Marseille,204970,France,82,85,1966,28000000.0,40000.0,F. Thauvin
223,Atlético Madrid,204639,Montenegro,82,86,1692,24000000.0,62000.0,S. Savić
224,Real Sociedad,204525,Spain,82,86,1961,24000000.0,37000.0,Iñigo Martínez
225,Swansea City,204277,Spain,82,82,2009,18000000.0,85000.0,Roque Mesa
226,Roma,203551,Italy,82,84,2265,22000000.0,73000.0,A. Florenzi
227,Everton,203483,Netherlands,82,85,2108,27500000.0,110000.0,D. Klaassen
228,Bayer 04 Leverkusen,202857,Germany,82,82,1965,23000000.0,67000.0,K. Bellarabi
229,Manchester City,202652,England,82,87,1960,29500000.0,140000.0,R. Sterling
230,Milan,202651,Spain,82,87,1911,29500000.0,110000.0,Suso
231,FC Barcelona,202477,Spain,82,89,1946,31000000.0,165000.0,Deulofeu
232,Tottenham Hotspur,202335,England,82,87,2045,25000000.0,85000.0,E. Dier
233,Manchester United,201862,Argentina,82,83,2045,21000000.0,130000.0,M. Rojo
234,Paris Saint-Germain,200949,Brazil,82,85,2049,28000000.0,92000.0,Lucas
235,Tottenham Hotspur,200104,Korea Republic,82,85,1975,28000000.0,95000.0,H. Son
236,Sassuolo,199845,Italy,82,82,1815,17000000.0,68000.0,F. Acerbi
237,Arsenal,199503,Switzerland,82,85,1993,27500000.0,110000.0,G. Xhaka
238,UD Las Palmas,198164,Spain,82,82,2099,23000000.0,31000.0,Jonathan Viera
239,SL Benfica,197965,Portugal,82,82,2165,23000000.0,19000.0,Pizzi
240,Real Sociedad,195093,Brazil,82,86,1923,29000000.0,42000.0,Willian José
241,TSG 1899 Hoffenheim,193698,Germany,82,84,1209,18000000.0,37000.0,O. Baumann
242,Beşiktaş JK,193532,Chile,82,82,2013,17000000.0,64000.0,G. Medel
243,Villarreal CF,193469,Spain,82,83,1833,20000000.0,43000.0,Víctor Ruíz
244,Stoke City,193348,Switzerland,82,85,2073,28000000.0,85000.0,X. Shaqiri
245,Juventus,193082,Colombia,82,82,2111,21500000.0,130000.0,J. Cuadrado
246,Lazio,192387,Italy,82,83,1948,26000000.0,70000.0,C. Immobile
247,Juventus,190483,Brazil,82,82,2016,24000000.0,115000.0,Douglas Costa
248,Liverpool,190456,England,82,84,2057,22000000.0,115000.0,N. Clyne
249,Leicester City,189560,Spain,82,82,2062,17000000.0,85000.0,Iborra
250,Paris Saint-Germain,188943,Germany,82,84,1194,18500000.0,71000.0,K. Trapp
251,Tottenham Hotspur,188942,Kenya,82,85,2103,23000000.0,99000.0,V. Wanyama
252,Shakhtar Donetsk,188803,Brazil,82,82,2045,21500000.0,1000.0,Taison
253,Shakhtar Donetsk,187754,Brazil,82,82,2060,21500000.0,1000.0,Marlos
254,Borussia Mönchengladbach,187072,Germany,82,82,2173,23000000.0,56000.0,L. Stindl
255,OGC Nice,186627,Italy,82,82,1887,24500000.0,51000.0,M. Balotelli
256,Arsenal,186561,Wales,82,83,2114,25500000.0,130000.0,A. Ramsey
257,Juventus,186153,Poland,82,84,1250,18000000.0,90000.0,W. Szczęsny
258,Everton,184484,Iceland,82,82,2096,23000000.0,130000.0,G. Sigurðsson
259,FC Porto,184267,Algeria,82,82,1971,23000000.0,21000.0,Y. Brahimi
260,West Ham United,184200,Austria,82,82,2094,22500000.0,125000.0,M. Arnautović
261,Liverpool,183711,England,82,84,2183,21500000.0,115000.0,J. Henderson
262,SV Werder Bremen,183574,Germany,82,82,2053,22000000.0,47000.0,M. Kruse
263,Watford,183497,Greece,82,82,1212,13500000.0,30000.0,O. Karnezis
264,SL Benfica,183376,Serbia,82,82,1942,18000000.0,18000.0,L. Fejsa
265,Galatasaray SK,182494,Uruguay,82,82,1370,13500000.0,57000.0,F. Muslera
266,Lokomotiv Moscow,181786,Croatia,82,82,1922,15000000.0,54000.0,V. Ćorluka
267,Liverpool,181291,Netherlands,82,85,2167,27000000.0,130000.0,G. Wijnaldum
268,Roma,179847,Argentina,82,82,1611,16500000.0,73000.0,F. Fazio
269,Arsenal,178509,France,82,82,1933,21500000.0,140000.0,O. Giroud
270,Zenit St. Petersburg,178372,Serbia,82,82,1984,9000000.0,73000.0,B. Ivanović
271,West Ham United,178224,Mexico,82,82,1917,22000000.0,135000.0,J. Hernández
272,Athletic Club de Bilbao,177600,Spain,82,82,2106,20500000.0,35000.0,Beñat
273,Bayer 04 Leverkusen,177457,Germany,82,83,2038,20000000.0,64000.0,L. Bender
274,,177413,Belgium,82,82,2143,0.0,0.0,A. Witsel
275,Manchester City,174543,Chile,82,82,1464,9000000.0,110000.0,C. Bravo
276,Bournemouth,172723,Bosnia Herzegovina,82,82,1233,14000000.0,64000.0,A. Begović
277,FC Schalke 04,171919,Brazil,82,82,1949,6500000.0,48000.0,Naldo
278,Liverpool,171833,England,82,82,1882,23500000.0,140000.0,D. Sturridge
279,Tottenham Hotspur,169595,England,82,83,2117,21000000.0,99000.0,D. Rose
280,Real Sociedad,169416,Mexico,82,82,1963,22500000.0,46000.0,C. Vela
281,Sampdoria,168354,Italy,82,82,1162,13500000.0,37000.0,E. Viviano
282,Borussia Dortmund,167431,Germany,82,82,2156,20500000.0,72000.0,G. Castro
283,Antalyaspor,165239,France,82,82,1931,21000000.0,29000.0,S. Nasri
284,Everton,163824,Wales,82,82,1759,12500000.0,115000.0,A. Williams
285,Olympique de Marseille,163705,France,82,82,1217,12500000.0,31000.0,S. Mandanda
286,Everton,163631,England,82,82,2211,12500000.0,115000.0,L. Baines
287,Sassuolo,163489,Italy,82,82,1182,14000000.0,52000.0,A. Consigli
288,AS Monaco,162347,Portugal,82,82,2192,20500000.0,48000.0,João Moutinho
289,Girondins de Bordeaux,158121,France,82,82,1171,15000000.0,46000.0,B. Costil
290,Napoli,157481,Spain,82,82,1737,15000000.0,73000.0,Raúl Albiol
291,West Ham United,150724,England,82,82,1318,14000000.0,110000.0,J. Hart
292,VfL Wolfsburg,150418,Germany,82,82,1832,20000000.0,85000.0,M. Gómez
293,Borussia Mönchengladbach,144622,Brazil,82,82,2051,17500000.0,54000.0,Raffael
294,FC Barcelona,143745,Turkey,82,82,2141,20500000.0,170000.0,A. Turan
295,Manchester City,135507,Brazil,82,82,2150,12500000.0,130000.0,Fernandinho
296,New York City Football Club,113422,Spain,82,82,1997,10000000.0,12000.0,David Villa
297,Juventus,108080,Switzerland,82,82,2072,8500000.0,115000.0,S. Lichtsteiner
298,Hertha BSC Berlin,104389,Norway,82,82,1185,12500000.0,30000.0,R. Jarstein
299,Manchester City,230666,Brazil,81,92,1967,31000000.0,115000.0,Gabriel Jesus
300,FC Barcelona,227928,Portugal,81,87,2037,20500000.0,125000.0,Nélson Semedo
301,Sporting CP,227055,Portugal,81,88,2007,25000000.0,20000.0,Gelson Martins
302,Girondins de Bordeaux,222737,Brazil,81,87,1943,24500000.0,47000.0,Malcom
303,Borussia Dortmund,222028,Germany,81,87,1940,21000000.0,46000.0,J. Weigl
304,Tottenham Hotspur,220793,Colombia,81,88,1745,21500000.0,70000.0,D. Sánchez
305,TSG 1899 Hoffenheim,216354,Croatia,81,83,1949,22000000.0,50000.0,A. Kramarić
306,Inter,216352,Croatia,81,85,2113,23000000.0,64000.0,M. Brozović
307,Athletic Club de Bilbao,216201,Spain,81,87,1953,24500000.0,31000.0,Williams
308,SD Eibar,216194,Spain,81,82,1938,17000000.0,26000.0,Dani García
309,Chelsea,213661,Denmark,81,89,1720,23000000.0,86000.0,A. Christensen
310,FC Bayern Munich,212622,Germany,81,87,2158,20500000.0,81000.0,J. Kimmich
311,RB Leipzig,211368,Portugal,81,86,1982,24000000.0,63000.0,Bruma
312,Sassuolo,210935,Italy,81,87,1996,24500000.0,62000.0,D. Berardi
313,Olympique de Marseille,210896,France,81,87,2183,24000000.0,34000.0,M. Sanson
314,Paris Saint-Germain,210008,France,81,86,2097,23500000.0,77000.0,A. Rabiot
315,Borussia Dortmund,209889,Portugal,81,86,2171,24000000.0,58000.0,R. Guerreiro
316,Leicester City,208830,England,81,81,2047,17000000.0,89000.0,J. Vardy
317,Ajax,208670,Morocco,81,85,2043,23000000.0,16000.0,H. Ziyech
318,Everton,207599,England,81,87,1888,21000000.0,91000.0,M. Keane
319,Napoli,205498,Italy,81,84,2114,22000000.0,71000.0,Jorginho
320,Arsenal,203747,Spain,81,88,2005,21000000.0,91000.0,Héctor Bellerín
321,Stoke City,203042,England,81,87,1225,18000000.0,50000.0,J. Butland
322,Valencia CF,202685,Italy,81,82,1971,21000000.0,44000.0,S. Zaza
323,Paris Saint-Germain,202371,Belgium,81,84,2141,18500000.0,77000.0,T. Meunier
324,Lazio,201995,Brazil,81,86,2043,24000000.0,57000.0,Felipe Anderson
325,FC Barcelona,201400,Brazil,81,86,2078,23500000.0,140000.0,Rafinha
326,Real Madrid CF,200724,Spain,81,83,1838,17500000.0,145000.0,Nacho Fernández
327,FC Barcelona,199987,Netherlands,81,83,1287,15000000.0,125000.0,J. Cillessen
328,FC Barcelona,199564,Spain,81,86,2071,19500000.0,140000.0,Sergi Roberto
329,Sevilla FC,199451,France,81,82,2015,21000000.0,26000.0,W. Ben Yedder
